Day,Strand/Standard,Title,Concepts,Starter,Description
1,"Strand 1 / Standard 1",Programming Languages,"Interpreted vs Compiled, High-level vs Low-level","Gallery Walk: Examples of code in various languages; students guess which are compiled vs interpreted","Students will explore the differences between interpreted and compiled programming languages, as well as high-level versus low-level languages, through a lecture and code examples, including Processing. They will discuss real-world applications of each type. The submittable artifact is a short written reflection on one language’s use case, saved as a text file."
2,"Strand 1 / Standard 2",Using an IDE,"IDE features, compile/run, debugging, syntax vs runtime vs logic errors","Quick IDE Tour: Pair-share what each button or menu in the Processing environment might do before demoing","The lesson focuses on navigating the Processing environment, covering compilation, execution, and debugging. Students will practice identifying syntax, runtime, and logic errors in sample Processing code. The submittable artifact is a screenshot of a debugged .pde file with annotations explaining one error fixed."
3,"Strand 1 / Performance",IDE Project,Create a program using IDE,"Mini Debugging Challenge: Find bugs in sample Processing .pde output","Students will apply Processing environment skills to create a simple program, such as a basic animation or drawing, and debug it. The focus is hands-on coding and testing in Processing. The submittable artifact is the completed .pde source file."
4,"Strand 2 / Standard 1","Programming Style Basics","White space, naming conventions, constants vs variables","**Read My Code!** (5-7 mins): Show two very short Processing code snippets. One should be poorly formatted/named, the other well-formatted. Ask students which is easier to read and why.","The lesson introduces programming style in Processing, emphasizing readable code through proper white space, naming conventions, and constants. Students will refactor a poorly formatted .pde file. The submittable artifact is the refactored .pde file with a brief explanation of changes made."
5,"Strand 2 / Standard 1",Identifier Formats,"camelCase, snake_case, PascalCase","Naming Game: Rename sloppy variables in a Processing sketch using proper conventions","Students will learn about identifier formats like camelCase and snake_case, practicing their application in Processing variable naming. The focus is on writing clear, standardized code. The submittable artifact is a .pde file with renamed variables from a provided sketch."
6,"Strand 2 / Standard 1",Output Formatting,"Decimal places, dollar signs, sentence formatting","**Making it Pretty** (5-7 mins): Provide students with raw data (e.g., a number like 1234.5678, a name and an age). Ask how they would display it in Processing to look professional (e.g., as text or graphics).","The lesson covers formatting output in Processing for user readability, such as text or graphical displays. Students will write a Processing sketch to format sample data. The submittable artifact is a .pde file that formats numerical and string outputs."
7,"Strand 2 / Standard 2","Software Development Life Cycle","Requirements, Design, Implementation, Testing, Release","Sticky Note Flowchart: Build out SDLC stages on wall posters","Students will explore the Software Development Life Cycle (SDLC) through a group activity mapping its stages for a Processing project. They will discuss each phase’s role in programming. The submittable artifact is a flowchart of the SDLC for a hypothetical Processing app, saved as a diagram."
8,"Strand 2 / Standard 2",Designing Algorithms,"UML diagrams, pseudocode, top-down design","UML Sketch-Off: Draw a flowchart or pseudocode for a Processing-based to-do app visualization","The focus is on algorithm design using UML diagrams and pseudocode for a Processing-based to-do list visualization. Students will practice top-down design principles. The submittable artifact is a UML diagram or pseudocode for the app, saved as a diagram or text file."
9,"Strand 2 / Performance",Development Project,"Apply SDLC to a complete program","SDLC Group Sprint: Apply all stages to a Processing animation project","Students will apply the SDLC to develop an animation or interactive program in Processing, from requirements to testing. The lesson emphasizes teamwork and project planning. The submittable artifact is the completed .pde file and a brief project report."
10,"Strand 3 / Standard 1","Input/Output Basics","Input vs Output, I/O Devices","Input/Output Sorting: Categorize real-world examples of input vs output","The lesson introduces input/output concepts in Processing, exploring mouse and keyboard inputs and graphical outputs. Students will analyze real-world I/O examples. The submittable artifact is a diagram categorizing five I/O examples, saved as a text or image file."
11,"Strand 3 / Standard 2","Data Types Overview","Boolean, Integer, Float, String","**Information Sort** (5-7 mins): Provide a list of various pieces of information (e.g., ""your age"", ""your name"", ""is it raining?"", ""your GPA""). Ask students how they would categorize each in Processing.","Students will learn about basic data types (Boolean, Integer, Float, String) in Processing and their applications. They will practice declaring variables in a sketch. The submittable artifact is a .pde file demonstrating the use of all four data types."
12,"Strand 3 / Standard 2","Declaring & Initializing Variables","Assignment, declaration vs initialization","**The Empty Box** (5-7 mins): Bring in an empty box and a toy. Explain that declaring is like labeling the box, and initializing is like putting the toy inside. Discuss why you might want to label an empty box.","The focus is on variable declaration and initialization in Processing, emphasizing their differences. Students will write a sketch to declare and initialize variables. The submittable artifact is a .pde file with five properly declared and initialized variables."
