Day,Strand/Standard,Title,Concepts,Starter,Description
41,"Strand 3 / Standard 3",Graph Data Structures,"Graphs, adjacency lists/matrices","Graph Sketch: Draw a graph for task dependencies.","Students will learn graph data structures in their chosen language, implementing an adjacency list/matrix in an IDE for the task app. The submittable artifact is a source file implementing a graph."
42,"Strand 3 / Standard 3",Graph Traversal,"DFS, BFS algorithms","Traversal Race: Trace a depth-first search for tasks.","The lesson covers graph traversal algorithms (DFS, BFS) in a chosen language. Students will implement BFS. The submittable artifact is a source file with a BFS implementation."
43,"Strand 3 / Standard 3",Shortest Path Algorithms,"Dijkstra’s algorithm, weighted graphs","Path Hunt: Find the shortest path in a task graph.","Students will implement Dijkstra’s algorithm in their chosen language, working with weighted graphs in an IDE. The submittable artifact is a source file with Dijkstra’s algorithm."
44,"Strand 3 / Standard 4",Dynamic Programming,"Memoization, bottom-up approach","DP Puzzle: Solve a task scheduling problem with memoization.","The lesson introduces dynamic programming, focusing on memoization for task optimization. Students will code a solution. The submittable artifact is a source file with a memoized algorithm."
45,"Strand 3 / Performance",Ongoing Group Project: Graph Algorithms,"Graph algorithms, task dependencies","Graph Update: Add graph-based features to the task app.","Students will integrate graph algorithms (e.g., task dependencies) into the task management app, updating the Git repository. The submittable artifact is a source file and a project update report."
46,"Strand 4 / Standard 3",Advanced Design Patterns,"Observer, strategy patterns","Pattern Match: Identify observer pattern in a task app.","Students will learn advanced design patterns (observer, strategy) in their chosen language, implementing one in an IDE. The submittable artifact is a source file using a design pattern."
47,"Strand 4 / Standard 3",Refactoring Code,"Code smells, refactoring techniques","Refactor Challenge: Spot code smells in the task app.","The lesson covers refactoring techniques to improve task app code quality. Students will refactor a program in an IDE. The submittable artifact is a refactored source file with a refactoring log."
48,"Strand 4 / Standard 4",Version Control Basics,"Git, branching, merging","Git Simulation: Simulate a commit for the task app.","Students will learn Git version control, practicing branching and merging for the task app. The submittable artifact is a Git workflow diagram, saved as an image file."
49,"Strand 4 / Standard 4",Collaborative Coding with Git,"Pull requests, code reviews","PR Role Play: Act out a pull request for the task app.","The lesson focuses on collaborative coding with Git, including pull requests for the task app. Students will set up a repository. The submittable artifact is a source file in a Git repository with a pull request summary."
50,"Strand 4 / Performance",Ongoing Group Project: Collaborative Coding,"Git, design patterns","Code Update: Implement a task app feature with Git.","Students will work in teams to implement a feature for the task management app using Git and design patterns. The submittable artifact is a source file and a sprint report."
