Day,Strand/Standard,Title,Concepts,Starter,Description
1,"Strand 1 / Standard 1",Advanced Game Genres,"Complex genres, narrative-driven games","Genre Swap: Students pick a game genre and suggest how to add narrative elements.","Students will explore advanced game genres (e.g., RPG, strategy) and narrative-driven design. They will analyze how storytelling enhances games, using Processing examples. The submittable artifact is a written analysis of a narrative-driven game, saved as a text file."
2,"Strand 1 / Standard 1",Game Engines Introduction,"Game engines, Unity vs Processing","Engine Guess: Watch a game demo and guess if it’s built in Processing or Unity.","The lesson introduces game engines like Unity, comparing them to Processing’s capabilities for 2D games. Students will explore engine features. The submittable artifact is a comparison chart of Processing vs Unity, saved as a text or image file."
3,"Strand 1 / Standard 2",Advanced Game Design Document,"Detailed GDD, mechanics, narrative","GDD Upgrade: Revise a simple GDD from Game Dev 1 to include narrative and mechanics.","Students will create a detailed game design document (GDD) for a Processing-based game, including mechanics, narrative, and assets. The focus is on comprehensive planning. The submittable artifact is a detailed GDD, saved as a text file."
4,"Strand 1 / Standard 2",Prototyping in Processing,"Rapid prototyping, iterative design","Prototype Pitch: Sketch a game idea in 2 minutes and pitch it.","Students will learn rapid prototyping in Processing, creating a basic game concept (e.g., a platformer). They will iterate based on feedback. The submittable artifact is a .pde file for a game prototype."
5,"Strand 1 / Standard 3",Advanced Processing Techniques,"PImage, transformations","Image Challenge: Predict the output of a Processing sketch with PImage and rotation.","The lesson covers advanced Processing techniques like PImage for sprites and transformations (rotate, scale). Students will create a rotating sprite. The submittable artifact is a .pde file with a transformed sprite."
6,"Strand 1 / Standard 3",Custom Libraries in Processing,"Using external libraries, sound","Library Hunt: Find a Processing library online and guess its use.","Students will explore Processing libraries (e.g., Sound, Minim) to enhance games. They will add a library-based feature to a sketch. The submittable artifact is a .pde file using an external library."
7,"Strand 2 / Standard 1",Advanced Game Loops,"Frame rate optimization, delta time","Frame Rate Test: Run a Processing sketch and adjust frameRate to see effects.","The lesson focuses on optimizing game loops in Processing, introducing delta time for smooth updates. Students will optimize a moving object. The submittable artifact is a .pde file with a delta-time-based movement."
8,"Strand 2 / Standard 1",Complex Input Handling,"Multi-key inputs, mouse events","Input Combo: Plan a game action using multiple keys in Processing.","Students will handle complex inputs (e.g., simultaneous key presses) in Processing for advanced game controls. They will code a multi-input system. The submittable artifact is a .pde file with multi-key controls."
9,"Strand 2 / Standard 2",Advanced Physics,"Gravity, friction, forces","Physics Brainstorm: Discuss how gravity affects a game character.","The lesson covers advanced physics (gravity, friction) in Processing, simulating realistic movement. Students will code a physics-based object. The submittable artifact is a .pde file with gravity and friction."
10,"Strand 2 / Standard 2",Complex Collision Detection,"Polygon collision, hitboxes","Collision Puzzle: Identify hitboxes in a sample Processing game.","Students will implement polygon-based collision detection in Processing, improving game accuracy. They will code a complex collision system. The submittable artifact is a .pde file with polygon collision detection."
