Day,Strand/Standard,Title,Concepts,Starter,Description
1,"Strand 1 / Standard 1",Introduction to Robotics Safety,"Lab safety, VEX V5 safety devices","Safety Hunt: Identify potential hazards in the robotics lab.","Students will learn lab safety practices and VEX V5 safety features (e.g., emergency stops). They will assess the robotics lab for hazards. The submittable artifact is a safety checklist, saved as a text file."
2,"Strand 1 / Standard 2",Electrical Safety,"Electrical hazards, lockout/tagout","Circuit Safety Quiz: Match electrical safety terms to scenarios.","The lesson covers electrical safety for robotics, including lockout/tagout procedures with VEX V5 components. Students will document safety steps. The submittable artifact is an electrical safety guide, saved as a text file."
3,"Strand 1 / Standard 3",VEX V5 Safety Devices,"Emergency stops, deadman switches","Stop Button Demo: Locate the V5 Brain’s emergency stop button.","Students will explore VEX V5 safety devices (e.g., emergency stops, deadman switches) and practice activating/deactivating them. The submittable artifact is a safety procedure log, saved as a text file."
4,"Strand 2 / Standard 1",History of Robotics,"Robotics evolution, modern robots","Timeline Game: Place robotics milestones on a timeline.","The lesson covers the history of robotics, from early automata to modern VEX V5 robots. Students will analyze key events. The submittable artifact is a robotics timeline, saved as an image file."
5,"Strand 2 / Standard 1",Robotics and Mechatronics,"Defining robotics, mechatronics","Robot Match: Classify devices as robots or non-robots.","Students will define robotics and mechatronics, comparing industrial and VEX V5 robots used in 'Push Back.' The submittable artifact is a definition chart, saved as a text file."
6,"Strand 2 / Standard 2",Societal Impacts of Robotics,"Robotics in society, workforce","Debate Prep: Argue pros/cons of robots in industry.","The lesson explores societal and workforce impacts of robotics, using VEX 'Push Back' as an example of automation. Students will write a short argument. The submittable artifact is a societal impact essay, saved as a text file."
7,"Strand 2 / Standard 2",Economic Impacts of Robotics,"Automation, 4 Ds of robotics","4 Ds Puzzle: Match the 4 Ds (Dull, Dirty, Dangerous, Difficult) to tasks.","Students will study the economic impacts of robotics, focusing on the 4 Ds and VEX 'Push Back' tasks. The submittable artifact is a 4 Ds analysis, saved as a text file."
8,"Strand 2 / Standard 3",Types of Robots,"Industrial vs. service robots","Robot Sort: Categorize robots by function (e.g., VEX V5, drones).","The lesson covers types of robots, comparing VEX V5 robots for 'Push Back' to industrial robots. Students will classify robots. The submittable artifact is a robot classification chart, saved as an image file."
9,"Strand 3 / Standard 1",VEX V5 Components,"V5 Brain, motors, sensors","Component Hunt: Identify VEX V5 components in a kit.","Students will explore VEX V5 components (V5 Brain, motors, sensors) used in 'Push Back.' They will document component functions. The submittable artifact is a component list, saved as a text file."
10,"Strand 3 / Standard 1",End-of-Arm Tooling,"Grippers, manipulators for 'Push Back'","Tool Sketch: Draw a gripper for moving Blocks in 'Push Back.'","The lesson covers End-of-Arm Tooling for VEX V5 robots, designing a gripper for 'Push Back' Blocks. The submittable artifact is a gripper design sketch, saved as an image file."
11,"Strand 3 / Standard 2",VEX V5 Sensors,"Line trackers, distance sensors","Sensor Demo: Test a VEX V5 sensor’s response to stimuli.","Students will learn about VEX V5 sensors (e.g., line trackers, distance sensors) and their role in 'Push Back' navigation. They will test a sensor. The submittable artifact is a sensor test log, saved as a text file."
